Diamondback_request,Reporting_type,Primary_role,Positive_test_result_date,No_of_cases
Part C,Self Reported,Student,31-Aug-21,1
Part C,Self Reported,Student,30-Aug-21,1
Part C,Self Reported,Student,23-Aug-21,1
Part C,Self Reported,Student,22-Aug-21,1
Part C,Self Reported,Student,21-Aug-21,1
Part C,Self Reported,Student,20-Aug-21,1
Part C,Self Reported,Student,19-Aug-21,1
Part C,Self Reported,Student,14-Aug-21,1
Part C,Self Reported,Student,10-Aug-21,2
Part C,Self Reported,Student,19-Jul-21,1
Part C,Self Reported,Student,18-Jul-21,1
Part C,Self Reported,Staff,16-Jul-21,1
Part C,Self Reported,Student,14-Jul-21,1
Part C,Self Reported,Student,12-Jul-21,1
Part C,Self Reported,Student,16-Jun-21,1
Part C,Self Reported,Student,27-May-21,1
Part C,Self Reported,Student,5-May-21,1
Part C,Self Reported,Student,12-Apr-21,1
Part C,Self Reported,Staff,10-Apr-21,1
Part C,Self Reported,Student,9-Apr-21,1
Part C,Self Reported,Student,7-Apr-21,1
Part C,Self Reported,Student,1-Apr-21,1
Part C,Self Reported,Student,31-Mar-21,1
Part C,Self Reported,Student,23-Mar-21,1
Part C,Self Reported,Student,18-Mar-21,1
Part C,Self Reported,Student,26-Feb-21,1
Part C,Self Reported,Student,23-Feb-21,1
Part C,Self Reported,Student,22-Feb-21,1
Part C,Self Reported,Student,15-Feb-21,1
Part C,Self Reported,Student,7-Feb-21,1
Part C,Self Reported,Student,1-Feb-21,1
Part C,Self Reported,Student,22-Jan-21,1
Part C,Self Reported,Student,20-Jan-21,1
Part C,Self Reported,Student,17-Jan-21,1
Part C,Self Reported,Student,15-Jan-21,2
Part C,Self Reported,Student,14-Jan-21,1
Part C,Self Reported,Student,11-Jan-21,2
Part C,Self Reported,Student,8-Jan-21,1
Part C,Self Reported,Student,7-Jan-21,1
Part C,Self Reported,Student,5-Jan-21,1
Part C,Self Reported,Student,2-Jan-21,2
Part C,Self Reported,Student,1-Jan-21,1
Part C,Self Reported,Student,28-Dec-20,1
Part C,Self Reported,Staff,22-Dec-20,2
Part C,Self Reported,Student,18-Dec-20,3
Part C,Self Reported,Student,9-Dec-20,1
Part C,Self Reported,Student,3-Dec-20,1
Part C,Self Reported,Staff,2-Dec-20,1
Part C,Self Reported,Student,30-Nov-20,1
Part C,Self Reported,Staff,25-Nov-20,1
Part C,Self Reported,Student,6-Nov-20,1
Part C,Self Reported,Student,19-Sep-20,1
Part C,Self Reported,Student,10-Sep-20,2
Part C,Self Reported,Student,8-Sep-20,1
Part C,Self Reported,Student,6-Sep-20,1
Part C,Self Reported,Student,1-Sep-20,1
Part C,Self Reported,Student,3-Aug-20,1
Part C,Self Reported,Student,30-Jul-20,1
Part C,Self Reported,Student,28-Jul-20,1
Part C,Self Reported,Student,10-Jul-20,1
Part C,Self Reported,Staff,8-Jul-20,1
Part C,Self Reported,Student,2-Jul-20,1
Part C,Self Reported,Student,29-May-20,1
Part C,Self Reported,Student,26-May-20,1
Part C,Self Reported,Student,30-Apr-20,1
Part B,UHC reported,Staff,30-Sep-22,1
Part B,UHC reported,Student,23-Sep-22,1
Part B,UHC reported,Student,14-Sep-22,1
Part B,UHC reported,Student,13-Sep-22,1
Part B,UHC reported,Student,12-Sep-22,1
Part B,UHC reported,Student,6-Sep-22,1
Part B,UHC reported,Student,2-Sep-22,2
Part B,UHC reported,Student,1-Sep-22,1
Part B,UHC reported,Student,31-Aug-22,1
Part B,UHC reported,Student,29-Aug-22,1
Part B,UHC reported,Staff,24-Aug-22,1
Part B,UHC reported,Student,22-Aug-22,1
Part B,UHC reported,Staff,19-Aug-22,1
Part B,UHC reported,Staff,18-Aug-22,1
Part B,UHC reported,Student,11-Aug-22,1
Part B,UHC reported,Staff,7-Aug-22,1
Part B,UHC reported,Staff,3-Aug-22,1
Part B,UHC reported,Faculty,2-Aug-22,1
Part B,UHC reported,Student,20-Jul-22,1
Part B,UHC reported,Staff,15-Jul-22,1
Part B,UHC reported,Student,6-Jul-22,1
Part B,UHC reported,Staff,5-Jul-22,1
Part B,UHC reported,Staff,4-Jul-22,1
Part B,UHC reported,Staff,3-Jul-22,1
Part B,UHC reported,Faculty,3-Jul-22,1
Part B,UHC reported,Staff,2-Jul-22,1
Part B,UHC reported,Student,1-Jul-22,1
Part B,UHC reported,Staff,1-Jul-22,1
Part B,UHC reported,Staff,30-Jun-22,3
Part B,UHC reported,Faculty,29-Jun-22,1
Part B,UHC reported,Staff,29-Jun-22,1
Part B,UHC reported,Staff,28-Jun-22,1
Part B,UHC reported,Student,28-Jun-22,2
Part B,UHC reported,Faculty,28-Jun-22,1
Part B,UHC reported,Staff,27-Jun-22,2
Part B,UHC reported,Staff,26-Jun-22,2
Part B,UHC reported,Faculty,26-Jun-22,2
Part B,UHC reported,Staff,25-Jun-22,3
Part B,UHC reported,Student,25-Jun-22,1
Part B,UHC reported,Faculty,25-Jun-22,1
Part B,UHC reported,Student,24-Jun-22,2
Part B,UHC reported,Staff,24-Jun-22,2
Part B,UHC reported,Faculty,24-Jun-22,1
Part B,UHC reported,Staff,23-Jun-22,4
Part B,UHC reported,Student,23-Jun-22,2
Part B,UHC reported,Faculty,22-Jun-22,1
Part B,UHC reported,Student,22-Jun-22,1
Part B,UHC reported,Staff,22-Jun-22,6
Part B,UHC reported,Staff,21-Jun-22,4
Part B,UHC reported,Student,21-Jun-22,1
Part B,UHC reported,Staff,20-Jun-22,2
Part B,UHC reported,Student,20-Jun-22,2
Part B,UHC reported,Staff,19-Jun-22,2
Part B,UHC reported,Student,19-Jun-22,1
Part B,UHC reported,Staff,18-Jun-22,2
Part B,UHC reported,Student,18-Jun-22,1
Part B,UHC reported,Faculty,18-Jun-22,1
Part B,UHC reported,Staff,17-Jun-22,1
Part B,UHC reported,Faculty,17-Jun-22,1
Part B,UHC reported,Staff,16-Jun-22,1
Part B,UHC reported,Faculty,16-Jun-22,1
Part B,UHC reported,Student,16-Jun-22,1
Part B,UHC reported,Student,15-Jun-22,2
Part B,UHC reported,Staff,15-Jun-22,4
Part B,UHC reported,Student,14-Jun-22,1
Part B,UHC reported,Staff,14-Jun-22,4
Part B,UHC reported,Faculty,14-Jun-22,2
Part B,UHC reported,Staff,13-Jun-22,4
Part B,UHC reported,Faculty,13-Jun-22,1
Part B,UHC reported,Staff,12-Jun-22,3
Part B,UHC reported,Staff,11-Jun-22,2
Part B,UHC reported,Faculty,11-Jun-22,2
Part B,UHC reported,Student,11-Jun-22,1
Part B,UHC reported,Faculty,10-Jun-22,2
Part B,UHC reported,Student,10-Jun-22,1
Part B,UHC reported,Staff,10-Jun-22,1
Part B,UHC reported,Faculty,9-Jun-22,1
Part B,UHC reported,Staff,9-Jun-22,2
Part B,UHC reported,Staff,8-Jun-22,4
Part B,UHC reported,Staff,7-Jun-22,2
Part B,UHC reported,Student,6-Jun-22,1
Part B,UHC reported,Staff,6-Jun-22,1
Part B,UHC reported,Faculty,6-Jun-22,3
Part B,UHC reported,Staff,5-Jun-22,3
Part B,UHC reported,Faculty,4-Jun-22,1
Part B,UHC reported,Staff,4-Jun-22,3
Part B,UHC reported,Staff,3-Jun-22,4
Part B,UHC reported,Staff,2-Jun-22,1
Part B,UHC reported,Faculty,2-Jun-22,1
Part B,UHC reported,Student,2-Jun-22,2
Part B,UHC reported,Staff,1-Jun-22,6
Part B,UHC reported,Student,1-Jun-22,2
Part B,UHC reported,Faculty,1-Jun-22,1
Part B,UHC reported,Staff,31-May-22,4
Part B,UHC reported,Student,31-May-22,1
Part B,UHC reported,Faculty,31-May-22,2
Part B,UHC reported,Staff,30-May-22,5
Part B,UHC reported,Student,30-May-22,1
Part B,UHC reported,Faculty,29-May-22,1
Part B,UHC reported,Staff,29-May-22,5
Part B,UHC reported,Student,29-May-22,1
Part B,UHC reported,Staff,28-May-22,3
Part B,UHC reported,Student,28-May-22,1
Part B,UHC reported,Staff,27-May-22,3
Part B,UHC reported,Student,27-May-22,2
Part B,UHC reported,Student,26-May-22,2
Part B,UHC reported,Faculty,26-May-22,1
Part B,UHC reported,Staff,26-May-22,5
Part B,UHC reported,Student,25-May-22,1
Part B,UHC reported,Staff,25-May-22,7
Part B,UHC reported,Staff,24-May-22,4
Part B,UHC reported,Student,24-May-22,1
Part B,UHC reported,Staff,23-May-22,6
Part B,UHC reported,Student,23-May-22,1
Part B,UHC reported,Faculty,23-May-22,3
Part B,UHC reported,Student,22-May-22,1
Part B,UHC reported,Staff,22-May-22,4
Part B,UHC reported,Student,21-May-22,1
Part B,UHC reported,Staff,21-May-22,3
Part B,UHC reported,Student,20-May-22,1
Part B,UHC reported,Staff,20-May-22,3
Part B,UHC reported,Staff,19-May-22,2
Part B,UHC reported,Student,19-May-22,4
Part B,UHC reported,Faculty,19-May-22,2
Part B,UHC reported,Staff,18-May-22,3
Part B,UHC reported,Student,18-May-22,4
Part B,UHC reported,Faculty,18-May-22,3
Part B,UHC reported,Student,17-May-22,2
Part B,UHC reported,Staff,17-May-22,1
Part B,UHC reported,Staff,16-May-22,6
Part B,UHC reported,Student,16-May-22,9
Part B,UHC reported,Faculty,16-May-22,1
Part B,UHC reported,Faculty,15-May-22,2
Part B,UHC reported,Staff,15-May-22,4
Part B,UHC reported,Student,15-May-22,2
Part B,UHC reported,Staff,14-May-22,1
Part B,UHC reported,Student,14-May-22,6
Part B,UHC reported,Faculty,14-May-22,3
Part B,UHC reported,Staff,13-May-22,1
Part B,UHC reported,Student,13-May-22,10
Part B,UHC reported,Staff,12-May-22,5
Part B,UHC reported,Faculty,12-May-22,1
Part B,UHC reported,Student,12-May-22,16
Part B,UHC reported,Staff,11-May-22,6
Part B,UHC reported,Student,11-May-22,12
Part B,UHC reported,Faculty,11-May-22,1
Part B,UHC reported,Student,10-May-22,14
Part B,UHC reported,Staff,10-May-22,2
Part B,UHC reported,Staff,9-May-22,4
Part B,UHC reported,Student,9-May-22,10
Part B,UHC reported,Student,8-May-22,6
Part B,UHC reported,Staff,7-May-22,2
Part B,UHC reported,Student,7-May-22,4
Part B,UHC reported,Staff,6-May-22,3
Part B,UHC reported,Student,6-May-22,4
Part B,UHC reported,Staff,5-May-22,2
Part B,UHC reported,Student,5-May-22,3
Part B,UHC reported,Faculty,5-May-22,2
Part B,UHC reported,Student,4-May-22,4
Part B,UHC reported,Faculty,4-May-22,2
Part B,UHC reported,Staff,4-May-22,4
Part B,UHC reported,Student,3-May-22,6
Part B,UHC reported,Staff,3-May-22,4
Part B,UHC reported,Faculty,2-May-22,1
Part B,UHC reported,Student,2-May-22,3
Part B,UHC reported,Faculty,1-May-22,1
Part B,UHC reported,Student,1-May-22,2
Part B,UHC reported,Staff,1-May-22,3
Part B,UHC reported,Faculty,30-Apr-22,2
Part B,UHC reported,Staff,30-Apr-22,1
Part B,UHC reported,Student,29-Apr-22,6
Part B,UHC reported,Staff,29-Apr-22,2
Part B,UHC reported,Student,28-Apr-22,6
Part B,UHC reported,Staff,28-Apr-22,1
Part B,UHC reported,Student,27-Apr-22,4
Part B,UHC reported,Staff,27-Apr-22,4
Part B,UHC reported,Student,26-Apr-22,5
Part B,UHC reported,Faculty,26-Apr-22,1
Part B,UHC reported,Staff,25-Apr-22,1
Part B,UHC reported,Student,25-Apr-22,2
Part B,UHC reported,Staff,24-Apr-22,1
Part B,UHC reported,Student,24-Apr-22,2
Part B,UHC reported,Student,23-Apr-22,1
Part B,UHC reported,Staff,23-Apr-22,1
Part B,UHC reported,Student,22-Apr-22,4
Part B,UHC reported,Staff,22-Apr-22,1
Part B,UHC reported,Staff,21-Apr-22,2
Part B,UHC reported,Student,21-Apr-22,11
Part B,UHC reported,Faculty,21-Apr-22,2
Part B,UHC reported,Student,20-Apr-22,9
Part B,UHC reported,Faculty,20-Apr-22,2
Part B,UHC reported,Staff,20-Apr-22,3
Part B,UHC reported,Staff,19-Apr-22,3
Part B,UHC reported,Student,19-Apr-22,13
Part B,UHC reported,Student,18-Apr-22,13
Part B,UHC reported,Staff,18-Apr-22,5
Part B,UHC reported,Staff,17-Apr-22,4
Part B,UHC reported,Student,17-Apr-22,9
Part B,UHC reported,Student,16-Apr-22,4
Part B,UHC reported,Staff,16-Apr-22,1
Part B,UHC reported,Student,15-Apr-22,8
Part B,UHC reported,Faculty,15-Apr-22,2
Part B,UHC reported,Staff,15-Apr-22,1
Part B,UHC reported,Staff,14-Apr-22,4
Part B,UHC reported,Student,14-Apr-22,12
Part B,UHC reported,Faculty,13-Apr-22,1
Part B,UHC reported,Staff,13-Apr-22,2
Part B,UHC reported,Student,13-Apr-22,11
Part B,UHC reported,Staff,12-Apr-22,5
Part B,UHC reported,Student,12-Apr-22,15
Part B,UHC reported,Faculty,12-Apr-22,3
Part B,UHC reported,Student,11-Apr-22,6
Part B,UHC reported,Staff,11-Apr-22,2
Part B,UHC reported,Faculty,11-Apr-22,1
Part B,UHC reported,Faculty,10-Apr-22,1
Part B,UHC reported,Student,10-Apr-22,7
Part B,UHC reported,Staff,10-Apr-22,2
Part B,UHC reported,Faculty,9-Apr-22,1
Part B,UHC reported,Student,9-Apr-22,6
Part B,UHC reported,Staff,8-Apr-22,1
Part B,UHC reported,Faculty,8-Apr-22,1
Part B,UHC reported,Student,8-Apr-22,6
Part B,UHC reported,Staff,7-Apr-22,3
Part B,UHC reported,Faculty,7-Apr-22,1
Part B,UHC reported,Student,7-Apr-22,7
Part B,UHC reported,Staff,6-Apr-22,1
Part B,UHC reported,Student,6-Apr-22,5
Part B,UHC reported,Faculty,6-Apr-22,2
Part B,UHC reported,Faculty,5-Apr-22,1
Part B,UHC reported,Student,5-Apr-22,6
Part B,UHC reported,Staff,5-Apr-22,1
Part B,UHC reported,Staff,4-Apr-22,3
Part B,UHC reported,Student,4-Apr-22,4
Part B,UHC reported,Student,3-Apr-22,6
Part B,UHC reported,Faculty,2-Apr-22,2
Part B,UHC reported,Student,1-Apr-22,1
Part B,UHC reported,Staff,1-Apr-22,1
Part B,UHC reported,Faculty,1-Apr-22,2
Part B,UHC reported,Faculty,31-Mar-22,2
Part B,UHC reported,Student,31-Mar-22,5
Part B,UHC reported,Staff,30-Mar-22,2
Part B,UHC reported,Faculty,30-Mar-22,1
Part B,UHC reported,Student,30-Mar-22,9
Part B,UHC reported,Staff,29-Mar-22,1
Part B,UHC reported,Student,29-Mar-22,4
Part B,UHC reported,Faculty,28-Mar-22,2
Part B,UHC reported,Staff,28-Mar-22,1
Part B,UHC reported,Student,28-Mar-22,1
Part B,UHC reported,Staff,27-Mar-22,2
Part B,UHC reported,Student,27-Mar-22,5
Part B,UHC reported,Student,26-Mar-22,2
Part B,UHC reported,Staff,26-Mar-22,2
Part B,UHC reported,Student,25-Mar-22,3
Part B,UHC reported,Faculty,24-Mar-22,1
Part B,UHC reported,Staff,24-Mar-22,1
Part B,UHC reported,Student,24-Mar-22,2
Part B,UHC reported,Student,23-Mar-22,1
Part B,UHC reported,Staff,23-Mar-22,1
Part B,UHC reported,Faculty,23-Mar-22,2
Part B,UHC reported,Student,22-Mar-22,1
Part B,UHC reported,Staff,22-Mar-22,1
Part B,UHC reported,Staff,20-Mar-22,1
Part B,UHC reported,Student,19-Mar-22,2
Part B,UHC reported,Student,18-Mar-22,2
Part B,UHC reported,Staff,18-Mar-22,1
Part B,UHC reported,Staff,17-Mar-22,1
Part B,UHC reported,Student,17-Mar-22,3
Part B,UHC reported,Faculty,16-Mar-22,1
Part B,UHC reported,Staff,16-Mar-22,2
Part B,UHC reported,Student,16-Mar-22,3
Part B,UHC reported,Staff,15-Mar-22,1
Part B,UHC reported,Faculty,15-Mar-22,1
Part B,UHC reported,Student,15-Mar-22,3
Part B,UHC reported,Staff,14-Mar-22,1
Part B,UHC reported,Faculty,13-Mar-22,1
Part B,UHC reported,Student,13-Mar-22,3
Part B,UHC reported,Student,12-Mar-22,1
Part B,UHC reported,Faculty,12-Mar-22,1
Part B,UHC reported,Student,11-Mar-22,5
Part B,UHC reported,Staff,11-Mar-22,1
Part B,UHC reported,Staff,10-Mar-22,1
Part B,UHC reported,Student,10-Mar-22,4
Part B,UHC reported,Faculty,10-Mar-22,1
Part B,UHC reported,Student,9-Mar-22,3
Part B,UHC reported,Staff,9-Mar-22,1
Part B,UHC reported,Staff,8-Mar-22,1
Part B,UHC reported,Student,8-Mar-22,14
Part B,UHC reported,Faculty,8-Mar-22,1
Part B,UHC reported,Student,7-Mar-22,11
Part B,UHC reported,Staff,7-Mar-22,2
Part B,UHC reported,Faculty,6-Mar-22,1
Part B,UHC reported,Student,6-Mar-22,3
Part B,UHC reported,Staff,5-Mar-22,1
Part B,UHC reported,Student,5-Mar-22,1
Part B,UHC reported,Student,4-Mar-22,4
Part B,UHC reported,Student,3-Mar-22,8
Part B,UHC reported,Faculty,3-Mar-22,2
Part B,UHC reported,Student,2-Mar-22,15
Part B,UHC reported,Student,1-Mar-22,11
Part B,UHC reported,Staff,1-Mar-22,3
Part B,UHC reported,Student,28-Feb-22,13
Part B,UHC reported,Staff,28-Feb-22,2
Part B,UHC reported,Staff,27-Feb-22,1
Part B,UHC reported,Student,27-Feb-22,6
Part B,UHC reported,Student,26-Feb-22,5
Part B,UHC reported,Student,25-Feb-22,10
Part B,UHC reported,Faculty,25-Feb-22,1
Part B,UHC reported,Staff,25-Feb-22,2
Part B,UHC reported,Student,24-Feb-22,13
Part B,UHC reported,Staff,24-Feb-22,2
Part B,UHC reported,Staff,23-Feb-22,3
Part B,UHC reported,Student,23-Feb-22,19
Part B,UHC reported,Faculty,23-Feb-22,1
Part B,UHC reported,Faculty,22-Feb-22,1
Part B,UHC reported,Student,22-Feb-22,26
Part B,UHC reported,Staff,22-Feb-22,3
Part B,UHC reported,Staff,21-Feb-22,2
Part B,UHC reported,Student,21-Feb-22,34
Part B,UHC reported,Student,20-Feb-22,16
Part B,UHC reported,Faculty,20-Feb-22,1
Part B,UHC reported,Faculty,19-Feb-22,1
Part B,UHC reported,Student,19-Feb-22,19
Part B,UHC reported,Student,18-Feb-22,35
Part B,UHC reported,Faculty,18-Feb-22,1
Part B,UHC reported,Staff,18-Feb-22,2
Part B,UHC reported,Student,17-Feb-22,61
Part B,UHC reported,Staff,17-Feb-22,4
Part B,UHC reported,Student,16-Feb-22,65
Part B,UHC reported,Staff,16-Feb-22,3
Part B,UHC reported,Student,15-Feb-22,57
Part B,UHC reported,Staff,15-Feb-22,3
Part B,UHC reported,Staff,14-Feb-22,3
Part B,UHC reported,Student,14-Feb-22,66
Part B,UHC reported,Student,13-Feb-22,24
Part B,UHC reported,Staff,13-Feb-22,1
Part B,UHC reported,Faculty,13-Feb-22,1
Part B,UHC reported,Student,12-Feb-22,24
Part B,UHC reported,Staff,11-Feb-22,2
Part B,UHC reported,Student,11-Feb-22,18
Part B,UHC reported,Faculty,11-Feb-22,1
Part B,UHC reported,Staff,10-Feb-22,4
Part B,UHC reported,Student,10-Feb-22,17
Part B,UHC reported,Staff,9-Feb-22,2
Part B,UHC reported,Student,9-Feb-22,14
Part B,UHC reported,Faculty,9-Feb-22,1
Part B,UHC reported,Student,8-Feb-22,20
Part B,UHC reported,Staff,8-Feb-22,3
Part B,UHC reported,Staff,7-Feb-22,2
Part B,UHC reported,Student,7-Feb-22,10
Part B,UHC reported,Student,6-Feb-22,7
Part B,UHC reported,Staff,6-Feb-22,1
Part B,UHC reported,Staff,5-Feb-22,2
Part B,UHC reported,Student,5-Feb-22,3
Part B,UHC reported,Faculty,4-Feb-22,1
Part B,UHC reported,Student,4-Feb-22,22
Part B,UHC reported,Staff,4-Feb-22,1
Part B,UHC reported,Student,3-Feb-22,15
Part B,UHC reported,Staff,3-Feb-22,2
Part B,UHC reported,Faculty,3-Feb-22,1
Part B,UHC reported,Staff,2-Feb-22,2
Part B,UHC reported,Student,2-Feb-22,22
Part B,UHC reported,Student,1-Feb-22,20
Part B,UHC reported,Staff,1-Feb-22,4
Part B,UHC reported,Staff,31-Jan-22,2
Part B,UHC reported,Student,31-Jan-22,29
Part B,UHC reported,Faculty,31-Jan-22,2
Part B,UHC reported,Student,30-Jan-22,11
Part B,UHC reported,Staff,30-Jan-22,3
Part B,UHC reported,Faculty,30-Jan-22,1
Part B,UHC reported,Student,29-Jan-22,7
Part B,UHC reported,Faculty,29-Jan-22,1
Part B,UHC reported,Student,28-Jan-22,8
Part B,UHC reported,Staff,28-Jan-22,7
Part B,UHC reported,Student,27-Jan-22,12
Part B,UHC reported,Staff,27-Jan-22,5
Part B,UHC reported,Faculty,27-Jan-22,1
Part B,UHC reported,Student,26-Jan-22,8
Part B,UHC reported,Faculty,26-Jan-22,2
Part B,UHC reported,Staff,26-Jan-22,3
Part B,UHC reported,Faculty,25-Jan-22,1
Part B,UHC reported,Staff,25-Jan-22,2
Part B,UHC reported,Student,25-Jan-22,9
Part B,UHC reported,Faculty,24-Jan-22,2
Part B,UHC reported,Staff,24-Jan-22,10
Part B,UHC reported,Student,24-Jan-22,18
Part B,UHC reported,Faculty,23-Jan-22,3
Part B,UHC reported,Student,23-Jan-22,22
Part B,UHC reported,Staff,23-Jan-22,12
Part B,UHC reported,Staff,22-Jan-22,3
Part B,UHC reported,Student,22-Jan-22,22
Part B,UHC reported,Student,21-Jan-22,22
Part B,UHC reported,Staff,21-Jan-22,5
Part B,UHC reported,Staff,20-Jan-22,9
Part B,UHC reported,Faculty,20-Jan-22,3
Part B,UHC reported,Student,20-Jan-22,18
Part B,UHC reported,Staff,19-Jan-22,4
Part B,UHC reported,Faculty,19-Jan-22,2
Part B,UHC reported,Student,19-Jan-22,16
Part B,UHC reported,Student,18-Jan-22,9
Part B,UHC reported,Faculty,18-Jan-22,2
Part B,UHC reported,Staff,18-Jan-22,11
Part B,UHC reported,Staff,17-Jan-22,3
Part B,UHC reported,Student,17-Jan-22,9
Part B,UHC reported,Faculty,17-Jan-22,1
Part B,UHC reported,Staff,16-Jan-22,2
Part B,UHC reported,Student,16-Jan-22,3
Part B,UHC reported,Faculty,16-Jan-22,1
Part B,UHC reported,Faculty,15-Jan-22,2
Part B,UHC reported,Staff,15-Jan-22,3
Part B,UHC reported,Student,15-Jan-22,9
Part B,UHC reported,Student,14-Jan-22,11
Part B,UHC reported,Staff,14-Jan-22,9
Part B,UHC reported,Faculty,13-Jan-22,2
Part B,UHC reported,Student,13-Jan-22,19
Part B,UHC reported,Staff,13-Jan-22,14
Part B,UHC reported,Student,12-Jan-22,12
Part B,UHC reported,Staff,12-Jan-22,10
Part B,UHC reported,Student,11-Jan-22,17
Part B,UHC reported,Faculty,11-Jan-22,4
Part B,UHC reported,Staff,11-Jan-22,5
Part B,UHC reported,Staff,10-Jan-22,21
Part B,UHC reported,Student,10-Jan-22,37
Part B,UHC reported,Faculty,10-Jan-22,5
Part B,UHC reported,Staff,9-Jan-22,1
Part B,UHC reported,Student,9-Jan-22,3
Part B,UHC reported,Faculty,8-Jan-22,1
Part B,UHC reported,Staff,8-Jan-22,2
Part B,UHC reported,Student,8-Jan-22,9
Part B,UHC reported,Staff,7-Jan-22,11
Part B,UHC reported,Student,7-Jan-22,28
Part B,UHC reported,Faculty,7-Jan-22,4
Part B,UHC reported,Staff,6-Jan-22,58
Part B,UHC reported,Faculty,6-Jan-22,10
Part B,UHC reported,Student,6-Jan-22,73
Part B,UHC reported,Student,5-Jan-22,45
Part B,UHC reported,Faculty,5-Jan-22,5
Part B,UHC reported,Staff,5-Jan-22,35
Part B,UHC reported,Faculty,4-Jan-22,8
Part B,UHC reported,Student,4-Jan-22,46
Part B,UHC reported,Staff,4-Jan-22,29
Part B,UHC reported,Faculty,3-Jan-22,1
Part B,UHC reported,Student,3-Jan-22,8
Part B,UHC reported,Staff,3-Jan-22,2
Part B,UHC reported,Staff,2-Jan-22,3
Part B,UHC reported,Student,2-Jan-22,7
Part B,UHC reported,Student,1-Jan-22,4
Part B,UHC reported,Staff,1-Jan-22,1
Part B,UHC reported,Student,31-Dec-21,6
Part B,UHC reported,Staff,31-Dec-21,6
Part B,UHC reported,Faculty,31-Dec-21,1
Part B,UHC reported,Student,30-Dec-21,7
Part B,UHC reported,Faculty,30-Dec-21,1
Part B,UHC reported,Faculty,29-Dec-21,3
Part B,UHC reported,Student,29-Dec-21,7
Part B,UHC reported,Staff,29-Dec-21,3
Part B,UHC reported,Faculty,28-Dec-21,3
Part B,UHC reported,Student,28-Dec-21,7
Part B,UHC reported,Staff,28-Dec-21,2
Part B,UHC reported,Student,27-Dec-21,11
Part B,UHC reported,Staff,27-Dec-21,4
Part B,UHC reported,Faculty,27-Dec-21,1
Part B,UHC reported,Student,26-Dec-21,8
Part B,UHC reported,Staff,26-Dec-21,3
Part B,UHC reported,Staff,25-Dec-21,1
Part B,UHC reported,Student,25-Dec-21,4
Part B,UHC reported,Staff,24-Dec-21,2
Part B,UHC reported,Student,24-Dec-21,4
Part B,UHC reported,Student,23-Dec-21,8
Part B,UHC reported,Staff,23-Dec-21,1
Part B,UHC reported,Student,22-Dec-21,51
Part B,UHC reported,Staff,22-Dec-21,4
Part B,UHC reported,Faculty,22-Dec-21,6
Part B,UHC reported,Student,21-Dec-21,86
Part B,UHC reported,Faculty,21-Dec-21,1
Part B,UHC reported,Staff,21-Dec-21,17
Part B,UHC reported,Student,20-Dec-21,138
Part B,UHC reported,Faculty,20-Dec-21,4
Part B,UHC reported,Staff,20-Dec-21,25
Part B,UHC reported,Student,19-Dec-21,2
Part B,UHC reported,Staff,19-Dec-21,1
Part B,UHC reported,Student,18-Dec-21,17
Part B,UHC reported,Student,17-Dec-21,117
Part B,UHC reported,Faculty,17-Dec-21,1
Part B,UHC reported,Staff,17-Dec-21,1
Part B,UHC reported,Faculty,16-Dec-21,1
Part B,UHC reported,Staff,16-Dec-21,11
Part B,UHC reported,Student,16-Dec-21,138
Part B,UHC reported,Student,15-Dec-21,72
Part B,UHC reported,Staff,15-Dec-21,9
Part B,UHC reported,Staff,14-Dec-21,2
Part B,UHC reported,Student,14-Dec-21,30
Part B,UHC reported,Faculty,13-Dec-21,1
Part B,UHC reported,Staff,13-Dec-21,4
Part B,UHC reported,Student,13-Dec-21,28
Part B,UHC reported,Student,10-Dec-21,11
Part B,UHC reported,Student,9-Dec-21,16
Part B,UHC reported,Staff,9-Dec-21,3
Part B,UHC reported,Student,8-Dec-21,10
Part B,UHC reported,Staff,8-Dec-21,1
Part B,UHC reported,Student,7-Dec-21,4
Part B,UHC reported,Student,6-Dec-21,11
Part B,UHC reported,Staff,6-Dec-21,1
Part B,UHC reported,Staff,5-Dec-21,1
Part B,UHC reported,Staff,4-Dec-21,1
Part B,UHC reported,Student,3-Dec-21,4
Part B,UHC reported,Staff,2-Dec-21,1
Part B,UHC reported,Faculty,2-Dec-21,1
Part B,UHC reported,Student,2-Dec-21,9
Part B,UHC reported,Student,1-Dec-21,8
Part B,UHC reported,Staff,1-Dec-21,1
Part B,UHC reported,Student,30-Nov-21,8
Part B,UHC reported,Staff,29-Nov-21,4
Part B,UHC reported,Student,29-Nov-21,7
Part B,UHC reported,Student,23-Nov-21,1
Part B,UHC reported,Staff,22-Nov-21,1
Part B,UHC reported,Student,22-Nov-21,1
Part B,UHC reported,Student,19-Nov-21,2
Part B,UHC reported,Staff,18-Nov-21,1
Part B,UHC reported,Student,18-Nov-21,4
Part B,UHC reported,Student,17-Nov-21,1
Part B,UHC reported,Staff,17-Nov-21,1
Part B,UHC reported,Student,16-Nov-21,4
Part B,UHC reported,Student,15-Nov-21,4
Part B,UHC reported,Student,12-Nov-21,1
Part B,UHC reported,Student,11-Nov-21,2
Part B,UHC reported,Staff,10-Nov-21,1
Part B,UHC reported,Student,10-Nov-21,3
Part B,UHC reported,Student,9-Nov-21,4
Part B,UHC reported,Student,8-Nov-21,7
Part B,UHC reported,Faculty,7-Nov-21,1
